Name,Thickness,Camber
nlf416,0.159721,0.024819
nlr1t,0.087005,0.012725
nlr7301,0.165185,0.016849
npl9510,0.110863,0.016265
npl9615,0.113,0.008859
npl9626,0.120674,0.007337
npl9627,0.121675,0.009185
npl9660,0.113006,0.010387
nplx,0.106749,0.010897
oa206,0.060088,0.008437
oa209,0.090116,0.01562
oa212,0.120111,0.022898
oa213,0.125668,0.033213
oaf095,0.094877,0.039168
oaf102,0.101752,0.036346
oaf117,0.114624,0.020218
oaf128,0.12796,0.010447
oaf139,0.13673,-0.013132
p51droot,0.165528,0.012695
p51dtip,0.114472,0.0131
p51hroot,0.154994,0.01288
p51htip,0.119997,0.013138
pmc19sm,0.091944,0.021291
psu-90-125wl,0.12547,0.024069
pt40,0.11596,0.029267
r140,0.120034,0.004631
r140sm,0.120418,0.004379
rae2822,0.121102,0.012655
rae5212,0.119493,0.018338
rae5213,0.09964,0.014534
